stockcode,stockname,industry,change%,MarketCap,display
2588,BOC AVIATION,Consumer Discretionary,-0.99,41536495616,2588<BR>BOC AVIATION<BR>-0.99%<BR><a target='_self' href='../quote/2588'>quote</a>
2600,CHALCO,Materials,1.8,122072637440,2600<BR>CHALCO<BR>+1.8%<BR><a target='_self' href='../quote/2600'>quote</a>
2601,CPIC,Financials,1.42,321451622400,2601<BR>CPIC<BR>+1.42%<BR><a target='_self' href='../quote/2601'>quote</a>
2607,SH PHARMA,Healthcare,-1.09,73794306048,2607<BR>SH PHARMA<BR>-1.09%<BR><a target='_self' href='../quote/2607'>quote</a>
2611,GTJA,Financials,0.0,167306674176,2611<BR>GTJA<BR>+0.0%<BR><a target='_self' href='../quote/2611'>quote</a>
2616,CSTONE PHARMA-B,Healthcare,-0.44,2907729664,2616<BR>CSTONE PHARMA-B<BR>-0.44%<BR><a target='_self' href='../quote/2616'>quote</a>
2618,JD LOGISTICS,Industrials,-1.07,85890850816,2618<BR>JD LOGISTICS<BR>-1.07%<BR><a target='_self' href='../quote/2618'>quote</a>
2628,CHINA LIFE,Financials,-0.68,1044526333952,2628<BR>CHINA LIFE<BR>-0.68%<BR><a target='_self' href='../quote/2628'>quote</a>
2638,HKELECTRIC-SS,Utilities,-0.19,46831865856,2638<BR>HKELECTRIC-SS<BR>-0.19%<BR><a target='_self' href='../quote/2638'>quote</a>
2666,UNI MEDICAL,Financials,1.42,9438784512,2666<BR>UNI MEDICAL<BR>+1.42%<BR><a target='_self' href='../quote/2666'>quote</a>
2669,CHINA OVS PPT,Properties & Construction,0.81,16419800064,2669<BR>CHINA OVS PPT<BR>+0.81%<BR><a target='_self' href='../quote/2669'>quote</a>
2678,TEXHONG INTL GP,Consumer Discretionary,0.25,3626099968,2678<BR>TEXHONG INTL GP<BR>+0.25%<BR><a target='_self' href='../quote/2678'>quote</a>
2688,ENN ENERGY,Utilities,0.63,62702608384,2688<BR>ENN ENERGY<BR>+0.63%<BR><a target='_self' href='../quote/2688'>quote</a>
2689,ND PAPER,Materials,-0.92,15202792448,2689<BR>ND PAPER<BR>-0.92%<BR><a target='_self' href='../quote/2689'>quote</a>
2727,SH ELECTRIC,Industrials,-2.45,115370680320,2727<BR>SH ELECTRIC<BR>-2.45%<BR><a target='_self' href='../quote/2727'>quote</a>
2777,R&F PROPERTIES,Properties & Construction,-3.57,5065699328,2777<BR>R&F PROPERTIES<BR>-3.57%<BR><a target='_self' href='../quote/2777'>quote</a>
2799,CHINA HUARONG,Financials,0.0,51357888512,2799<BR>CHINA HUARONG<BR>+0.0%<BR><a target='_self' href='../quote/2799'>quote</a>
2858,YIXIN,Financials,4.65,5871662592,2858<BR>YIXIN<BR>+4.65%<BR><a target='_self' href='../quote/2858'>quote</a>
