Pairs,Sharpe,Simple_rtn,STD,Trading_times,Holding_days,Total_days,Comm
MA_44 MA_76,-0.2924192532510095,1.0187177444723527,0.010717961033341248,68.0,3159.0,4936.0,0.0
MA_44 MA_77,-0.3872945548416037,1.1083462277887404,0.010772202865370388,68.0,3161.0,4936.0,0.0
MA_44 MA_78,-0.37161565735751934,1.1700871272135713,0.01077311452940891,66.0,3166.0,4936.0,0.0
MA_44 MA_79,-0.41501636069966247,1.2598360899869223,0.010784096711138877,64.0,3168.0,4936.0,0.0
MA_44 MA_80,-0.46792210672173346,1.4343230802358713,0.010753831184785774,64.0,3169.0,4936.0,0.0
MA_44 MA_81,-0.4679221067217336,1.42913813060373,0.01075383118478577,64.0,3164.0,4936.0,0.0
MA_44 MA_82,-0.4851863100825485,1.6393568930763225,0.010755361329419542,64.0,3165.0,4936.0,0.0
MA_44 MA_83,-0.42802276843198045,1.6735122757077425,0.010717877424860724,66.0,3160.0,4936.0,0.0
MA_44 MA_84,-0.4297542346890323,1.4210740763370473,0.010717828768175609,64.0,3156.0,4936.0,0.0
MA_44 MA_85,-0.45519363826203346,1.3177064719353426,0.0107213914429772,64.0,3155.0,4936.0,0.0
MA_44 MA_86,-0.4195809730330383,1.5927873689502663,0.010706084519695437,66.0,3155.0,4936.0,0.0
MA_44 MA_87,-0.4195809730330365,1.365908540867626,0.010706084519695434,62.0,3156.0,4936.0,0.0
MA_44 MA_88,-0.39691882975959336,1.3036406041361297,0.010711172221861244,60.0,3145.0,4936.0,0.0
MA_44 MA_89,-0.47114200918194915,1.1785946585067593,0.010744920153980321,60.0,3143.0,4936.0,0.0
MA_44 MA_90,-0.47114200918194843,1.0595391623804353,0.010744920153980323,58.0,3146.0,4936.0,0.0
MA_44 MA_91,-0.39159295561447427,0.7935045779461807,0.01078377839456361,60.0,3145.0,4936.0,0.0
MA_44 MA_92,-0.3915929556144729,1.060007952465837,0.010783778394563613,60.0,3143.0,4936.0,0.0
MA_44 MA_93,-0.39159295561447277,1.05752432676082,0.010783778394563617,58.0,3143.0,4936.0,0.0
MA_44 MA_94,-0.3915929556144744,1.2547968915769254,0.010783778394563608,56.0,3142.0,4936.0,0.0
MA_44 MA_95,-0.3915929556144729,1.243824779055522,0.010783778394563613,56.0,3142.0,4936.0,0.0
MA_44 MA_96,-0.35179705340394285,1.5385120320241463,0.010774653566992259,52.0,3145.0,4936.0,0.0
MA_44 MA_97,-0.3666500088043265,1.7873467461238075,0.010790100142755783,48.0,3152.0,4936.0,0.0
MA_44 MA_98,-0.36665000880432624,1.88521755746797,0.01079010014275579,46.0,3162.0,4936.0,0.0
MA_44 MA_99,-0.41997296166963,1.9322135403843541,0.010768614728320454,46.0,3170.0,4936.0,0.0
MA_44 MA_100,-0.41997296166962966,1.8547407788315096,0.010768614728320462,48.0,3169.0,4936.0,0.0
MA_45 MA_55,-0.4840548511364579,0.44795722552251105,0.010300121490720677,144.0,3028.0,4936.0,0.0
MA_45 MA_56,-0.6067505218017777,0.37195404879767846,0.01048887363814874,142.0,3041.0,4936.0,0.0
MA_45 MA_57,-0.511032560456825,0.2347921009981926,0.010477159790483645,134.0,3043.0,4936.0,0.0
MA_45 MA_58,-0.45662043061260643,0.3083799082548637,0.010516954523200485,124.0,3047.0,4936.0,0.0
MA_45 MA_59,-0.4559870903657294,0.37302386924108544,0.010488954551170923,116.0,3059.0,4936.0,0.0
MA_45 MA_60,-0.3420435430295741,0.2174684798872255,0.010496822184855158,114.0,3064.0,4936.0,0.0
MA_45 MA_61,-0.2850857289232489,0.09928417916053323,0.010566586088711803,110.0,3075.0,4936.0,0.0
MA_45 MA_62,-0.3139001734043725,0.035892306997125534,0.010543001642919062,102.0,3069.0,4936.0,0.0
MA_45 MA_63,-0.3139001734043696,-0.014396426315241628,0.010543001642919091,96.0,3082.0,4936.0,0.0
MA_45 MA_64,-0.3185338471861765,-0.05753485503240452,0.010537767091844738,96.0,3090.0,4936.0,0.0
MA_45 MA_65,-0.24247551117017846,0.022772054539563547,0.01043835576613325,92.0,3099.0,4936.0,0.0
MA_45 MA_66,-0.42760915721671716,0.10477825171278421,0.010560424981693805,88.0,3111.0,4936.0,0.0
MA_45 MA_67,-0.4830700069252554,0.2688008280258576,0.01057862459074514,82.0,3116.0,4936.0,0.0
MA_45 MA_68,-0.4830700069252559,0.3467277942417113,0.01057862459074513,78.0,3120.0,4936.0,0.0
MA_45 MA_69,-0.3821960742125349,0.44755219133087154,0.010611427704433025,82.0,3128.0,4936.0,0.0
MA_45 MA_70,-0.4061948700891797,0.6871754696887697,0.010607653763883505,78.0,3130.0,4936.0,0.0
MA_45 MA_71,-0.43015835560217824,0.6178006188736949,0.010618664827955199,76.0,3136.0,4936.0,0.0
MA_45 MA_72,-0.4258748934569706,0.7049031032438406,0.01061862770370382,76.0,3141.0,4936.0,0.0
MA_45 MA_73,-0.29244517663588193,0.6700554161046577,0.0107208398228377,76.0,3144.0,4936.0,0.0
MA_45 MA_74,-0.2880731157908611,0.7376260144983877,0.010717896801805148,74.0,3146.0,4936.0,0.0
MA_45 MA_75,-0.38304406976094135,0.84573142028236,0.010772158665960157,70.0,3166.0,4936.0,0.0
MA_45 MA_76,-0.38304406976094124,1.0187681019402683,0.010772158665960143,70.0,3166.0,4936.0,0.0
MA_45 MA_77,-0.4450915448905239,1.1977025147800946,0.010740079623009973,68.0,3159.0,4936.0,0.0
MA_45 MA_78,-0.44509154489052627,1.146202607587072,0.010740079623009964,68.0,3167.0,4936.0,0.0
MA_45 MA_79,-0.3438454629522194,1.5787154743822778,0.010734736117518736,66.0,3175.0,4936.0,0.0
MA_45 MA_80,-0.38670370678048205,1.6419784147809309,0.01071320928958178,64.0,3170.0,4936.0,0.0
MA_45 MA_81,-0.40604412854216154,1.6684898528547047,0.010714769910317138,64.0,3170.0,4936.0,0.0
MA_45 MA_82,-0.406044128542163,1.7454498442626698,0.010714769910317135,64.0,3169.0,4936.0,0.0
MA_45 MA_83,-0.4297542346890333,1.4382643924185912,0.010717828768175616,64.0,3162.0,4936.0,0.0
MA_45 MA_84,-0.46120139122916626,1.3206713712419926,0.010721054618694685,68.0,3165.0,4936.0,0.0
MA_45 MA_85,-0.4612013912291645,1.2858585134467098,0.010721054618694681,66.0,3158.0,4936.0,0.0
MA_45 MA_86,-0.4787541122151871,1.344610694521271,0.010722638349030197,64.0,3152.0,4936.0,0.0
MA_45 MA_87,-0.45032991064982986,1.5808887442989308,0.010728119209036711,62.0,3156.0,4936.0,0.0
MA_45 MA_88,-0.39691882975959486,1.484846354662579,0.010711172221861241,60.0,3151.0,4936.0,0.0
MA_45 MA_89,-0.47114200918194704,1.1832085278253786,0.010744920153980325,60.0,3151.0,4936.0,0.0
MA_45 MA_90,-0.478820076524072,1.038636009759712,0.010744400747311042,58.0,3146.0,4936.0,0.0
MA_45 MA_91,-0.39934723670891026,1.1333379714209006,0.010783290407610608,58.0,3145.0,4936.0,0.0
MA_45 MA_92,-0.5398650275262974,1.0656808061336753,0.010849363827357817,58.0,3142.0,4936.0,0.0
MA_45 MA_93,-0.4667538343522769,1.0337087412682187,0.010815445651876284,58.0,3146.0,4936.0,0.0
MA_45 MA_94,-0.4667538343522761,1.040197492841922,0.010815445651876289,58.0,3145.0,4936.0,0.0
